Date,Make,Colour,Odometer,Doors,Price,Speed
2/12/2022,Toyota,White,150043,4,"$4,000 ",60km/h
2/13/2022,Honda,Red,87899,4,"$5,000 ",70km/h
2/14/2022,Toyota,Blue,,3,"$7,000 ",60km/h
2/15/2022,BMW,Black,11179,5,"$22,000 ",70km/h
2/16/2022,Nissan,White,213095,4,"$3,500 ",60km/h
2/17/2022,Toyota,Green,,4,"$4,500 ",70km/h
2/18/2022,Honda,,,4,"$7,500 ",60km/h
2/19/2022,Honda,Blue,,5,,70km/h
2/21/2022,Toyota,White,60000,,,60km/h
2/22/2022,,White,31600,4,"$9,700 ",60km/h
2/23/2022,Nissan,White,213095,4,"$3,500 ",70km/h
2/12/2022,Toyota,White,150043,4,"$4,000 ",60km/h
2/14/2022,Toyota,Blue,,3,"$7,000 ",60km/h
2/12/2022,Toyota,White,150043,4,"$4,000 ",60km/h
2/12/2022,Toyota,White,150043,4,"$4,000 ",60km/h
